phylum	class	order	family	genus	species	strain
						
Firmicutes	Bacilli		Lactobacillaceae	Lactobacillus	Lactobacillus delbrueckii subsp. delbrueckii	STI07161(IMET); IMET7161; Hirsch377
Firmicutes	Bacilli		Lactobacillaceae	Lactobacillus	Lactobacillus delbrueckii subsp. delbrueckii	STI07168(IMET); Hirsch211; IMET7168
Firmicutes	Bacilli		Lactobacillaceae	Lactobacillus	Lactobacillus delbrueckii subsp. delbrueckii	STI07169(IMET); 210
Firmicutes	Bacilli		Lactobacillaceae	Lactobacillus	Lactobacillus delbrueckii subsp. delbrueckii	STI07172(IMET); Hirsch208; IMET7172
Firmicutes	Bacilli		Lactobacillaceae	Lactobacillus	Lactobacillus delbrueckii subsp. delbrueckii	STI07160(IMET); IFAM379; Hirsch379; IMET7160
Firmicutes	Bacilli		Lactobacillaceae	Lactobacillus	Lactobacillus casei subsp. rhamnosus	STI07508(IMET); IMRU1437; IMET7508
Firmicutes	Bacilli		Lactobacillaceae	Lactobacillus	Lactobacillus casei subsp. rhamnosus	STI07509(IMET); IMRU1560; IMET7509
Firmicutes	Bacilli		Lactobacillaceae	Lactobacillus	Lactobacillus casei subsp. rhamnosus	STI09707(IMET); LaceyA1135
Firmicutes	Bacilli		Lactobacillaceae	Lactobacillus	Lactobacillus casei subsp. rhamnosus	STI09708(IMET); LaceyA1136
Firmicutes	Bacilli		Lactobacillaceae	Lactobacillus	Lactobacillus casei subsp. rhamnosus	STI09706(IMET); A1132; IMET9706
Firmicutes	Bacilli		Lactobacillaceae	Lactobacillus	Lactobacillus buchneri	STI07671(IMET); IMRU1671
Firmicutes	Bacilli		Lactobacillaceae	Lactobacillus	Lactobacillus buchneri	STI07672(IMET); IMRU1628
Firmicutes	Bacilli		Lactobacillaceae	Lactobacillus	Lactobacillus buchneri	STI07675(IMET); IMRU1591
Firmicutes	Bacilli		Lactobacillaceae	Lactobacillus	Lactobacillus buchneri	STI07676(IMET); AK16/65; IMRU1389
Firmicutes	Bacilli		Lactobacillaceae	Lactobacillus	Lactobacillus buchneri	STI07512(IMET); IMRU1149
Firmicutes	Bacilli		Lactobacillaceae	Lactobacillus	Lactobacillus buchneri	STI07673(IMET); IMRU1601
Firmicutes	Bacilli		Lactobacillaceae	Lactobacillus	Lactobacillus buchneri	STI07674(IMET); IMRU1600
Firmicutes	Bacilli		Lactobacillaceae	Lactobacillus	Lactobacillus buchneri	STI07677(IMET); IMRU1107
Firmicutes	Bacilli		Lactobacillaceae	Lactobacillus	Lactobacillus arizonensis	STI07569(IMET)
Firmicutes	Bacilli		Lactobacillaceae	Lactobacillus	Lactobacillus arizonensis	STI07570(IMET); 55002; IMET7570
