phylum	class	order	family	genus	species	strain
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acetobacter	Acetobacter aceti subsp. aceti	B 4114
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acetobacter	Acetobacter cerevisiae	
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus subsp. pasteurianus	190
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus subsp. pasteurianus	Asai A-5, BU 121, Porges 38
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus subsp. pasteurianus	BU 117
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus subsp. pasteurianus	BU 343
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acetobacter	Acetobacter aceti subsp. orleanensis	
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus subsp. lovaniensis	
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus subsp. estunensis	
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acetobacter	Acetobacter pomorum	LTH 2458
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acetobacter	Acetobacter syzygii	9H-2
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acetobacter	Acetobacter cibinongensis	4H-1
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acetobacter	Acetobacter orientalis	21F-2
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acetobacter	Acetobacter tropicalis	
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acetobacter	Acetobacter indonesiensis	5H-1
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acetobacter	Acetobacter oeni	B13
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acetobacter	Acetobacter nitrogenifigens	RG1
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acetobacter	Acetobacter senegalensis	CWBI-B418
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acetobacter	Acetobacter ghanensis	430A, R-29337
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acetobacter	Acetobacter fabarum	985, R-36330
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus subsp. pasteurianus	L. 1374
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus subsp. pasteurianus	B 4110
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acidiphilium	Acidiphilium cryptum	Lhet2
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acidiphilium	Acidiphilium cryptum	KG-4, KG-4p
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acidiphilium	Acidiphilium cryptum	44het, AP-44
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acidiphilium	Acidiphilium cryptum	N-Het2
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acidiphilium	Thiobacillus acidophilus	
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acidiphilium	Acidiphilium multivorum	
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acidocella	Acidiphilium aminilyticum	
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Acidomonas	Acetobacter methanolicus	MB 58
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Asaia	Asaia siamensis	S60-1
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Asaia	Asaia astilbes	T-6133
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Asaia	Asaia platycodi	T-683
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Asaia	Asaia prunellae	T-153
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Belnapia	Belnapia moabensis	CP2C
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Belnapia	Belnapia rosea	CPCC 100156
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Gluconacetobacter	Acetobacter diazotrophicus	PA 5
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Gluconacetobacter	Gluconacetobacter sacchari	SRI1794
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Gluconacetobacter	Gluconacetobacter azotocaptans	CFN-Ca54
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Gluconacetobacter	Gluconacetobacter johannae	CFN-Cf55
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Komagataeibacter	Gluconacetobacter kakiaceti	G5-1
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Gluconobacter	Gluconobacter oxydans subsp. melanogenes	
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Gluconobacter	Gluconobacter oxydans subsp. melanogenes	B 4099, CN 1221
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Gluconobacter	Gluconobacter oxydans subsp. melanogenes	I
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Gluconobacter	Gluconobacter oxydans subsp. melanogenes	BUCSAV 350, Kondo 32
Proteobacteria	Alphaproteobacteria	Rhizobiales	Acetobacteraceae	Gluconobacter	Gluconobacter oxydans subsp. melanogenes	No 27, Porges 27
